"
অনেক রিভিউ দেখার পর আজ খাইলাম tradition bd er shahi kacchi...just wow.পেট মন দুইটাই ভরপুর করে এসেছি।পরিবেশ যেমন ভাল,তেমনি ব্যবহারও ভাল।বোরহানির কথা না বললেই না।অসাধারণ টেস্ট।

আমার আব্বা খাবার প্রিয় মানুষ, সহজে ১০/১০ দিতে চায় না।আজ কাচ্চি আর বোরহানি একটু খেয়েই বলছে ১০০ তে ১০০।","5"
"আপনাদের পার্সেল সার্ভিস খুবই খারাপ। আইটেম মিসিং, প্যাকিং খুবই বাজে। আমার তো মনে হয় আপনাদের এই ডিপার্টমেন্ট এ অনেক কাজ করতে হবে। whatever, food isn't that bad.
","1"
"অনেক দিন পর কোথাও খেয়ে পুরাপুরি তৃপ্তি পেলাম .........
দাম, খাবারের পরিমান, খাবারের টেস্ট, পরিবেশ এবং সবার ব্যবহার ভালো ছিল।
আশা করি এটা ধরে রাখতে পারবেন ...।।","4"
"food was very good but service aro valo korte hobe!

","4"
"khabar noshto chilo.staff behave good but noshto chilo parcel item er shob

","1"
"khub excitement niye khete giyesilam..... but halfcooked roast kheye mejaj kharap hoise....
","1"
"Average experience...Tried their shahi kacchi...But, sultan's dine is best in comparison.
","4"
"jorda ta and borhani onek valo legeche, rjalatao valo, Quality ta dhore rakhte parlei OK
","3"
"খাবারটা খুবই ভাল ছিল। ��� একেবারে বিয়ে বাড়ির সাদ।
তবে চাটনীটা একটু ঝাল ছিল।","5"
"আরাম পাইছি খেয়ে :D অনেক ভালো । হোম ডেলিভারি সার্ভিসটাও ভালো ।
","4"
"Kisui bolar ney oshadhoron..... love to always eat ......

","5"
"অনেক দিন পর কোথাও খেয়ে পুরাপুরি তৃপ্তি পেলাম .........
দাম, খাবারের পরিমান, খাবারের টেস্ট, পরিবেশ এবং সবার ব্যবহার ভালো ছিল।
আশা করি এটা ধরে রাখতে পারবেন ...।।","4"
"TB u rokzzz, খালি একটাই অনুরোধ খাবার টা যেন এমন ই থাকে সাথে দামটা ও।।।।।","5"
"আমি মনে করি, Reasonable Price-এ যথেষ্ট ভালো :-)
","4"
